Term,polarity,subjectivity
Terror,-0.8,0.9
Terror,0,0
Terror,0.4,0.8
Terror,0,0.375
Terror,0.192857143,0.767857143
Terror,0,0
Terror,-0.05,0
Terror,0,0.1
Terror,0,0
Terror,0.233333333,0.233333333
Terror,0,0
Terror,0.216666667,0.866666667
Terror,0,0
Terror,0.2,0.2
Terror,0.4,0.8
Terror,0,0
Terror,0.2,0.45625
Terror,0.198148148,0.446296296
Terror,-0.8,0.9
Terror,0.2,0.2
Terror,0,0
Terror,0.4,0.8
Terror,0.136363636,0.5
Terror,0,1
Terror,0,0
Terror,0.4,0.8
Terrorist,0,0
Terrorist,0.6,0.9
Terrorist,0.25,0.75
Terrorist,0,0
Terrorist,0,0
Terrorist,0,0
Terrorist,0.285714286,0.535714286
Terrorist,0,0.1
Terrorist,-0.05,0.3
Terrorist,0,0
Terrorist,0,0
Terrorist,0.5,0.5
Terrorist,0,0.1
Terrorist,0.5,0.5
Terrorist,0,0
Terrorist,0.066666667,0.3
Terrorist,0,0
Terrorist,-0.3,0.275
Terrorist,0,1
Terrorist,0,0
Terrorist,0,0
Terrorist,-0.2,0.8
Terrorist,0,0
Terrorist,0.066666667,0.65
Terrorist,-0.328409091,0.776136364
Terrorist,0,0
Terrorist,0,0
Terrorist,0,1
Terrorist,0,0
Terrorist,-0.8,1
Terrorist,0.1,0.2
Terrorist,0.285714286,0.535714286
Terrorist,0,0
Terrorist,0.3,0
Terrorist,-0.2,0.8
Terrorist,-0.5,0.3
Terrorist,-0.625,0.9
Terrorist,0,0
Terrorist,0,0
Terrorist,0,0
Terrorist,0,0
Terrorist,0.285714286,0.535714286
Terrorist,0,0
Terrorist,0,0
Terrorist,-0.2,0
Terrorist,0,0
Terrorist,0.285714286,0.535714286
Terrorist,0.366666667,0.65
Terrorist,0,0
Terrorist,0,1
Weapon,0,0
Weapon,0,1
Weapon,0,0
Weapon,-0.4,0.616666667
Weapon,-0.3,0.45
Weapon,0.142857143,0.330357143
Weapon,0.3,0.5
Weapon,0.066666667,0.133333333
Weapon,0,1
Weapon,0,0
Weapon,-0.133333333,0.366666667
Weapon,0.108888889,0.291111111
Weapon,0.3,0
Weapon,-0.066666667,0.583333333
Weapon,0,0
Weapon,0,0
Weapon,-0.125,0.3125
Weapon,0.461904762,0.711904762
Weapon,0,0
Weapon,0,0
Weapon,0,0
Weapon,0.05,0.15
Weapon,0.111111111,0.355555556
Weapon,-0.3,0.45
Weapon,-0.6,0.9
Weapon,-0.25,0.35
Weapon,0,0
Weapon,0.2,0.85
Weapon,0,0.75
Weapon,-0.096296296,0.577777778
